,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,movavg14day,stddiv14day,uppbound,lowbound,Call
412,IDFC,EQ,09-Jan-2019,43.95,44.05,44.35,42.55,42.9,43.2,43.36,4085298,177157900.2,12910,1362372,33.35,43.37928571428569,0.5675922735665717,44.514470261418836,42.24410116715255,Hold Buy/ Liquidate Short
413,IDFC,EQ,10-Jan-2019,43.2,43.3,43.75,42.7,42.9,42.95,43.12,3688826,159074177.1,10007,1468421,39.81,43.354285714285695,0.5709871921749717,44.49626009863564,42.21231132993575,Hold Buy/ Liquidate Short
414,IDFC,EQ,11-Jan-2019,42.95,43.1,43.25,41.75,41.9,42.0,42.25,4848665,204842565.05,14618,1804748,37.22,43.268571428571406,0.6412590637290692,44.551089556029545,41.986053301113266,Hold Buy/ Liquidate Short
415,IDFC,EQ,14-Jan-2019,42.0,42.4,42.9,41.45,42.85,42.75,42.22,2587556,109251969.8,6234,660103,25.51,43.19142857142855,0.699503748744064,44.59043606891668,41.792421073940424,Hold Buy/ Liquidate Short
416,IDFC,EQ,15-Jan-2019,42.75,42.85,43.3,42.65,43.25,42.95,42.93,1707229,73291633.1,3842,510000,29.87,43.17999999999997,0.702588620198388,44.585177240396746,41.7748227596032,Hold Buy/ Liquidate Short
417,IDFC,EQ,16-Jan-2019,42.95,43.45,44.3,42.95,43.75,43.75,43.72,3845952,168136696.0,9119,767802,19.96,43.20499999999998,0.7159689507674485,44.63693790153487,41.77306209846508,Hold Buy/ Liquidate Short
418,IDFC,EQ,17-Jan-2019,43.75,44.0,44.35,42.9,43.55,43.6,43.7,2515030,109901736.15,6170,582398,23.16,43.222857142857116,0.7256024401146965,44.674062023086506,41.771652262627725,Hold Buy/ Liquidate Short
419,IDFC,EQ,18-Jan-2019,43.6,44.3,44.3,42.8,43.0,43.15,43.24,2503090,108243864.95,4951,624689,24.96,43.19428571428569,0.7157214142797786,44.625728542845245,41.76284288572614,Hold Buy/ Liquidate Short
420,IDFC,EQ,21-Jan-2019,43.15,43.05,43.65,41.85,41.9,42.05,42.53,2412081,102596615.65,4630,677112,28.07,43.1285714285714,0.7324758556583217,44.59352313988804,41.663619717254754,Hold Buy/ Liquidate Short
421,IDFC,EQ,22-Jan-2019,42.05,41.7,42.75,41.35,42.2,42.4,41.98,2048012,85975409.2,4776,446737,21.81,43.06071428571426,0.7937298928846401,44.648174071483545,41.47325449994498,Hold Buy/ Liquidate Short
