,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,year,month,price*volume,Day_Perc_Change,Trend
199,2019-01-10,94.96,93.88,94.98,93.12,9400000.0,2019,1,892624000.0,0.1265288907633888,Slight or No Change
200,2019-01-09,94.89,95.71,96.14,94.77,6270000.0,2019,1,594960300.0,-0.07371524852568534,Slight or No Change
201,2019-01-08,95.2,95.06,95.75,93.91,7200000.0,2019,1,685440000.0,0.32669406681420377,Slight or No Change
202,2019-01-07,94.54,93.62,95.17,93.18,7790000.0,2019,1,736466600.0,-0.6932773109243673,Slight negative
203,2019-01-04,93.44,93.21,93.66,92.69,8029999.999999999,2019,1,750323199.9999999,-1.1635286651152987,Negative
204,2019-01-03,92.86,93.21,94.71,92.7,8279999.999999999,2019,1,768880799.9999999,-0.6207191780821852,Slight negative
205,2019-01-02,93.34,91.64,93.65,91.64,8150000.0,2019,1,760721000.0,0.5169071720870111,Slight positive
206,2018-12-31,93.15,92.67,93.39,92.25,7010000.0,2018,12,652981500.0,-0.20355688879365452,Slight or No Change
207,2018-12-28,92.13,92.07,93.47,91.64,9870000.0,2018,12,909323100.0,-1.0950080515298,Negative
208,2018-12-27,91.59,89.75,91.61,88.44,9880000.0,2018,12,904909200.0,-0.5861282969716664,Slight negative
209,2018-12-26,90.41,86.42,90.42,86.3,10030000.0,2018,12,906812300.0,-1.2883502565782412,Negative
210,2018-12-24,85.82,86.54,87.56,85.78,6110000.0,2018,12,524360199.99999994,-5.076872027430602,Among top losers
211,2018-12-21,87.13,86.87,89.47,86.8,14920000.0,2018,12,1299979600.0,1.5264507107900283,Positive
212,2018-12-20,87.28,90.11,90.11,86.14,16370000.000000002,2018,12,1428773600.0000002,0.17215654768736322,Slight or No Change
213,2018-12-19,90.55,91.29,93.0,90.25,12230000.0,2018,12,1107426500.0,3.7465627864344597,Among top gainers
214,2018-12-18,91.08,90.8,91.26,90.28,9610000.0,2018,12,875278800.0,0.5853119823302055,Slight positive
215,2018-12-17,90.77,91.22,92.01,90.16,9000000.0,2018,12,816930000.0,-0.3403601229688191,Slight or No Change
216,2018-12-14,91.85,92.05,92.56,91.57,11490000.0,2018,12,1055356499.9999999,1.1898204252506206,Positive
217,2018-12-13,92.96,93.25,93.68,92.43,8039999.999999999,2018,12,747398399.9999999,1.208492106695691,Positive
218,2018-12-12,93.11,94.3,94.3,93.06,9640000.0,2018,12,897580400.0,0.16135972461275294,Slight or No Change
219,2018-12-11,93.85,94.25,94.49,93.25,6450000.0,2018,12,605332500.0,0.7947588873375544,Slight positive
220,2018-12-10,93.94,93.56,94.25,92.34,7280000.0,2018,12,683883200.0,0.09589770911029305,Slight or No Change
221,2018-12-07,93.19,94.5,95.13,92.45,8500000.0,2018,12,792115000.0,-0.7983819459229324,Slight negative
222,2018-12-06,94.77,94.94,95.41,93.1,10370000.0,2018,12,982764900.0,1.6954608863611886,Positive
223,2018-12-04,95.81,98.25,98.96,95.61,10430000.0,2018,12,999298300.0,1.0973936899862924,Positive
224,2018-12-03,98.75,98.02,99.59,97.67,9080000.0,2018,12,896650000.0,3.068573217826942,Among top gainers
225,2018-11-30,97.65,97.4,98.43,97.07,10660000.0,2018,11,1040949000.0000001,-1.1139240506329084,Negative
226,2018-11-29,97.29,97.02,97.83,96.74,6240000.0,2018,11,607089600.0,-0.36866359447004227,Slight or No Change
227,2018-11-28,97.46,95.45,97.62,95.05,10070000.0,2018,11,981422199.9999999,0.17473532737175557,Slight or No Change
228,2018-11-27,95.04,94.99,95.54,94.41,9040000.0,2018,11,859161600.0,-2.483069977426622,Negative
229,2018-11-26,95.15,95.69,96.07,94.74,10030000.0,2018,11,954354500.0,0.11574074074074403,Slight or No Change
230,2018-11-23,95.1,94.13,95.55,94.13,4890000.0,2018,11,465039000.0,-0.05254860746191081,Slight or No Change
231,2018-11-21,94.17,94.36,94.92,93.31,9350000.0,2018,11,880489500.0,-0.9779179810725513,Slight negative
232,2018-11-20,94.16,94.98,95.2,93.6,12620000.0,2018,11,1188299200.0,-0.010619093129449197,Slight or No Change
233,2018-11-19,96.78,97.94,98.25,96.43,9210000.0,2018,11,891343800.0,2.782497875955814,Positive
